community_district,year.x,price_single_family_home,price_condominium,single_family_sale_volume,condominium_sale_volume,percent_public_housing,serious_crime,english_scores,math_scores,subway_access,park_access,code,code_prefix,code2,code_suffix,code3,cd_short_title,lots_parking,acres,area_sqmi,borocd,cd_tot_bldgs,cd_tot_resunits,count_hosp_clinic,count_libraries,count_parks,count_public_schools,crime_count,crime_count_boro,crime_count_nyc,crime_per_1000,crime_per_1000_boro,crime_per_1000_nyc,female_10_14,female_15_19,female_20_24,female_25_29,female_30_34,female_35_39,female_40_44,female_45_49,female_5_9,female_50_54,female_55_59,female_60_64,female_65_69,female_70_74,female_75_79,female_80_84,female_85_over,female_under_5,fp_100_area,fp_100_bldg,fp_100_cost_burden,fp_100_cost_burden_value,fp_100_mhhi,fp_100_mortg_value,fp_100_openspace,fp_100_ownerocc,fp_100_ownerocc_value,fp_100_permortg,fp_100_pop,fp_100_rent_burden,fp_100_rent_burden_value,fp_100_resunits,fp_500_area,fp_500_bldg,fp_500_cost_burden,fp_500_cost_burden_value,fp_500_mhhi,fp_500_mortg_value,fp_500_openspace,fp_500_ownerocc,fp_500_ownerocc_value,fp_500_permortg,fp_500_pop,fp_500_rent_burden,fp_500_rent_burden_value,fp_500_resunits,lep_rate,lep_rate_boro,lep_rate_nyc,lot_area_commercial_office,lot_area_industrial_manufacturing,lot_area_mixed_use,lot_area_open_space,lot_area_other_no_data,lot_area_parking,lot_area_public_facility_institution,lot_area_res_1_2_family_bldg,lot_area_res_multifamily_elevator,lot_area_res_multifamily_walkup,lot_area_transportation_utility,lot_area_vacant,lots_commercial_office,lots_industrial_manufacturing,lots_mixed_use,lots_open_space,lots_other_no_data,cartodb_id,lots_public_facility_institution,lots_res_1_2_family_bldg,lots_res_multifamily_elevator,lots_res_multifamily_walkup,lots_total,lots_transportation_utility,lots_vacant,male_10_14,male_15_19,male_20_24,male_25_29,male_30_34,male_35_39,male_40_44,male_45_49,male_5_9,male_50_54,male_55_59,male_60_64,male_65_69,male_70_74,male_75_79,male_80_84,male_85_over,male_under_5,mean_commute,mean_commute_boro,mean_commute_nyc,neighborhoods,over65_rate,over65_rate_boro,over65_rate_nyc,pct_asian_nh,pct_bach_deg,pct_bach_deg_boro,pct_bach_deg_nyc,pct_black_nh,pct_clean_strts,pct_clean_strts_boro,pct_clean_strts_nyc,pct_foreign_born,pct_hh_rent_burd,pct_hh_rent_burd_boro,pct_hh_rent_burd_nyc,pct_hispanic,pct_other_nh,pct_served_parks,pct_white_nh,pop_2000,pop_2010,pop_acs,pop_change_00_10,poverty_rate.x,poverty_rate_boro,poverty_rate_nyc,puma,shared_puma,shared_puma_cd,son_issue_1,son_issue_2,son_issue_3,total_lot_area,under18_rate,under18_rate_boro,under18_rate_nyc,unemployment_boro,unemployment_cd,unemployment_nyc,num,cd_let,cd_lett,total_lowinc,ownshare,total_units,lowshare,sub_borough_area,year.y,homeowner_income,renter_income,poverty_rate.y,population,home_ownership_rate,fha_va_backed_loans,lmi_borrowers,housing_units,rent_burden,choice_vouchers,percent_asian,percent_black,percent_hispanic,percent_white
BX 03 - Morrisania/Crotona,2017,416800.1229,259863.1573,9,9,0.26642132,16.85012913,0.201380898,0.181609195,0.630286079,0.997567872,BX03,BX,2,3,203,Bronx CD 3,208,1028.8,1.6,203,3642,32893,27,1,19,51,1390,20128,96515,15.410423,14.3,11.8,3.8,4.3,4.6,4.6,4.1,3.6,3.1,3.4,3.8,3.3,2.7,2,1.8,1.6,1,0.6,0.6,4.7,0.01,0,0.214876033,52,31000,155,0,0.122655854,242,0.640495868,0,0.530688159,856,0,0.03,21,0.240458015,63,19000,161,0,0.073041539,262,0.614503817,14,0.479672235,1522,84,26.4,26.1,23.1,1825086,2128876,2900693,6505172,233372,1134895,3884609,3238236,4043516,3870735,469682,830195,125,121,318,50,33,15,206,1208,118,1038,3728,48,255,3.6,4.4,4.5,4.3,3,2.5,2.5,2.9,4,2.8,2.6,1.9,1.2,0.9,0.7,0.4,0.2,4.2,44.2,44.2,40.8,"Claremont, Crotona Park East, Melrose, Morrisania",8.8,11.8,13.6,0.9,13.3,19.4,36.7,30.6,91.1,94.3,95.1,31.4,50.5,50.8,44.5,63.3,1.1,100,4.2,68574,79762,NA,0.16,30.3,26.2,19.8,3705,TRUE,Bronx CD 6,Health care services,Unemployment,Youth and childrens services,31065067,28.9,25.2,21,6.9,8.2,4.9,3,Bronx ,BX,5364,0.118366778,5805,0.924031008,Morrisania/Belmont,2017,69690.20343,23837.09456,0.358108,188075,0.0680968,0.534246575,1,65863,0.348,0.180696178,0.0132394,0.324652,0.617913,0.0381709
BX 04 - Highbridge/Concourse,2017,496797.2125,234386.3772,8,1,0.036261778,14.64753723,0.258006042,0.240446796,0.962980191,0.994301663,BX04,BX,2,4,204,Bronx CD 4,144,1275,2,204,3306,51594,27,4,31,48,2151,20128,96515,16.109177,14.3,11.8,4.1,3.6,4.3,4.2,4,3.5,3.7,3.2,4,3.8,3,2.5,2,1.5,1,0.6,0.9,3.4,0.14,25,0.471014493,65,24000,82,0.03,0.070193286,138,0.594202899,0,0.617178612,1085,0,0.26,27,0.471014493,65,24000,82,0.031,0.070193286,138,0.594202899,0,0.617178612,1085,0,36.2,26.1,23.1,2580784,1137748,3679666,6042925,318551,2425131,4484663,1676657,5500231,4503900,2511860,1220762,188,30,337,74,20,16,166,738,304,1101,3373,82,189,3.7,4.1,4.1,4,3.9,2.7,2.9,3,3.9,2.9,2.3,2,1.2,1.1,0.6,0.3,0.4,3.6,41.4,44.2,40.8,"Concourse, Concourse Village, East Concourse, Highbridge, Mount Eden, West Concourse",9.6,11.8,13.6,1.8,15,19.4,36.7,29.3,92.7,94.3,95.1,43.1,55.8,50.8,44.5,65.5,1.8,100,1.7,139563,146441,144614,0.05,32.4,26.2,19.8,3708,FALSE,NA,"Quality of life issues (noise, graffiti, petty crime, etc.)",Schools,Youth and childrens services,36082878,27.5,25.2,21,6.9,6.6,4.9,4,Bronx ,BX,5907,0.128964059,6400,0.92296875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BX 05 - Fordham/University Heights,2017,466225.0763,NA,14,0,0.1185701,13.75975039,0.269764216,0.224832215,0.982789141,0.993445151,BX05,BX,2,5,205,Bronx CD 5,84,879.5,1.4,205,3441,57057,35,3,19,40,1809,20128,96515,13.975545,14.3,11.8,4,NA,4.4,4.9,3.9,3.7,3.2,3.8,3.7,3.6,3.1,2.2,1.8,1.2,0.8,0.3,0.5,4.3,0.08,8,0,0,16000,32,0.036,0.013652913,45,0.711111111,4048,0.650425115,1989,1654,0.16,8,0,0,16000,32,0.036,0.013652913,45,0.711111111,4048,0.650425115,1989,1654,36.2,26.1,23.1,1671158,325583,3640339,1603836,39531,547031,3808704,2948395,4461630,4089664,560426,1095324,216,17,283,60,6,17,136,1156,312,865,3302,36,131,3.5,3.8,4.6,4.5,3.3,2.8,2.6,2.4,4.1,3.2,2.6,1.6,1.3,0.9,0.4,0.2,0.2,4.2,42.8,44.2,40.8,"Fordham, Morris Heights, Mount Hope, University Heights",7.7,11.8,13.6,1.7,13.1,19.4,36.7,27.5,91.9,94.3,95.1,43.4,59.3,50.8,44.5,68.4,1.1,100,1.2,128313,128200,140324,0,35.6,26.2,19.8,3707,FALSE,NA,Affordable housing,Schools,Unemployment,24791621,28.7,25.2,21,6.9,7.7,4.9,5,Bronx ,BX,4152,0.052325581,4550,0.912527473,University Heights/Fordham,2017,68499.92827,28690.93071,0.364299,148339,0.0371463,0.548387097,1,47911,0.417,0.193983063,0.0179589,0.244373,0.711047,0.0100243
BX 06 - Belmont/East Tremont,2017,360241.671,238972.1976,12,2,0.036298666,17.4857088,0.221929825,0.120822622,0.522682762,0.996885735,BX06,BX,2,6,206,Bronx CD 6,209,985.3,1.5,206,4329,31147,27,3,13,50,1500,20128,96515,17.414224,14.3,11.8,3.8,4.3,4.6,4.6,4.1,3.6,3.1,3.4,3.8,3.3,2.7,2,1.8,1.6,1,0.6,0.6,4.7,0.42,7,0.214876033,52,31000,155,0.001,0.122655854,242,0.640495868,0,0.530688159,856,0,0.85,11,0.240458015,63,19000,161,0.001,0.073041539,262,0.614503817,158,0.479672235,1522,169,26.4,26.1,23.1,1976122,738652,2632275,10507440,69963,1403717,6645242,2860653,2579380,4385659,1029100,996596,216,76,410,54,20,18,155,1281,144,1310,4157,74,208,3.6,4.4,4.5,4.3,3,2.5,2.5,2.9,4,2.8,2.6,1.9,1.2,0.9,0.7,0.4,0.2,4.2,44.2,44.2,40.8,"Bathgate, Belmont, Bronx Park South, East Tremont, West Farms",8.8,11.8,13.6,0.9,13.3,19.4,36.7,30.6,91.9,94.3,95.1,31.4,50.5,50.8,44.5,63.3,1.1,99,4.2,75688,83268,NA,0.1,30.3,26.2,19.8,3705,TRUE,Bronx CD 3,Crime,Schools,Unemployment,35824799,28.9,25.2,21,6.9,8.2,4.9,6,Bronx ,BX,4404,0.047619048,5446,0.808666911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BX 07 - Kingsbridge Heights/Bedford,2017,433105.2622,188528.1729,21,1,0.005266727,12.49946154,0.288188002,0.259988074,0.99522249,0.898369329,BX07,BX,2,7,207,Bronx CD 7,81,1223.5,1.9,207,6816,50654,20,4,18,34,1742,20128,96515,15.823031,14.3,11.8,3.4,3.3,4,4.4,4.4,3.6,3,3,3.6,3.7,2.9,2.8,1.8,1.6,0.8,0.8,0.8,4.4,0.06,9,0,0,NA,0,0,0.012048193,7,0,0,0.559546314,296,0,0.12,9,0,0,NA,0,0,0.012048193,7,0,0,0.559546314,296,0,36.8,26.1,23.1,2086603,397699,3130140,2358290,32143,753920,7766231,3416882,5090684,5136076,1211837,1572769,228,20,356,24,7,19,164,1256,345,975,3637,57,124,3.4,3.4,3.9,4.9,4.3,3.2,3.1,2.8,3.1,2.7,2.1,2.5,1.4,0.9,0.7,0.4,0.3,4.5,44.3,44.2,40.8,"Bedford Park, Fordham, Kingsbridge Heights, Norwood, University Heights",9.5,11.8,13.6,5.6,16.6,19.4,36.7,14.8,93,94.3,95.1,43.8,55.3,50.8,44.5,71.3,2.2,98,6.3,141411,139286,133339,-0.02,27.4,26.2,19.8,3706,FALSE,NA,"Land use trends (zoning, development, neighborhood preservation, etc.)",Schools,Other,32953274,26.6,25.2,21,6.9,8.6,4.9,7,Bronx ,BX,3315,0.174603175,4235,0.782762692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BX 08 - Riverdale/Fieldston,2017,810161.6081,568011.9465,58,34,0.04606333,9.456311252,0.462893082,0.404176904,0.631724045,0.943361126,BX08,BX,2,8,208,Bronx CD 8,63,2113.1,3.3,208,5420,44616,10,6,23,22,957,20128,96515,8.827964,14.3,11.8,2.2,1.9,3.8,4.2,3.8,3.6,2.8,3.3,2.9,3.3,3.3,3.4,3,2,1.9,1.4,2.4,3.5,0.82,96,0.133040936,91,47000,305,0.119,0.289340102,684,0.445906433,36,0.517891997,796,989,1.31,102,0.114285714,116,47000,368,0.131,0.306646526,1015,0.362561576,41,0.511267606,1089,1035,21.7,26.1,23.1,2143775,421733,1654409,9510142,728761,616377,12550444,18252913,12154454,2992979,6439205,10226801,188,11,155,47,3,20,141,3066,283,548,4977,37,435,2.8,2.9,3.3,3.6,4,2.8,3,3,3,2.6,2.5,2.4,2.5,1.5,1.2,0.8,0.9,4.3,45.7,44.2,40.8,"Fieldston, Kingsbridge, Marble Hill (MN), North Riverdale, Riverdale, Spuyten Duyvil",17.8,11.8,13.6,4.5,39.9,19.4,36.7,12.1,96.9,94.3,95.1,34.2,45.1,50.8,44.5,48.1,2.3,92,32.7,101332,101731,111182,0,15.8,26.2,19.8,3701,FALSE,NA,"Land use trends (zoning, development, neighborhood preservation, etc.)",Parks,Senior services,77691993,21.3,25.2,21,6.9,5.6,4.9,8,Bronx ,BX,539,0.625,839,0.642431466,Riverdale/Kingsbridge,2017,105971.1765,47937.10949,0.184964,113242,0.297166,0.009090909,0.14,45703,0.34,0.085590865,0.0409654,0.11773,0.488079,0.314918
BX 09 - Parkchester/Soundview,2017,397437.77,137574.6127,57,260,0.39766654,11.80512832,0.276683938,0.228123419,0.701497037,0.892559383,BX09,BX,2,9,209,Bronx CD 9,178,2622.5,4.1,209,13473,76284,11,4,28,50,2057,20128,96515,12.331688,14.3,11.8,3.2,3,4.2,4.2,3.6,3.9,3.2,3.5,3.1,3.8,3.2,3.2,2.3,1.8,1.6,0.8,0.9,3.6,0.99,798,0.39804401,814,36000,1692,0.469,0.531583052,2045,0.827383863,654,0.543882979,818,1167,2.29,2617,0.444973545,1682,21000,2779,0.5,0.253606172,3780,0.735185185,20950,0.576279528,5855,12823,25.4,26.1,23.1,4278133,3208457,5956160,10972386,378005,2769610,4979743,16661265,14556247,11087582,950044,7203080,274,70,305,43,29,21,155,6228,111,3150,10989,55,391,3.2,3.3,4.2,4,3.6,3,2.5,3.4,3.8,2.9,2.6,2.1,1.6,1.2,1,0.6,0.4,3.6,45.9,44.2,40.8,"Bronx River, Castle Hill, Clason Point, Harding Park, Parkchester, Soundview, Soundview-Bruckner, Unionport",12.1,11.8,13.6,7,16.6,19.4,36.7,29.1,95.1,94.3,95.1,32,48.8,50.8,44.5,58.1,2.9,86,2.8,167859,172298,190848,0.03,27.6,26.2,19.8,3709,FALSE,NA,Affordable housing,Crime,"Land use trends (zoning, development, neighborhood preservation, etc.)",83000712,24.3,25.2,21,6.9,7.2,4.9,9,Bronx ,BX,4920,0.547826087,5177,0.95035735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BX 10 - Throgs Neck/Co-op City,2017,468772.7544,361770.2778,182,48,0.13580969,8.738122134,0.401498929,0.375,0.272116864,0.750624488,BX10,BX,2,10,210,Bronx CD 10,224,4124.8,6.4,210,20199,50041,11,5,12,28,1073,20128,96515,8.883873,14.3,11.8,2.3,2.5,3.8,3.4,3.4,3.2,3.2,4,2.8,3.5,3.4,3.7,3,2.7,2.4,1.6,2.3,2.4,2.66,4249,0.2946854,2412,42000,4273,0.514,0.488132157,8185,0.522052535,11229,0.419639383,3235,20555,4.77,5599,0.234437976,3141,37000,5964,0.536,0.469512195,13398,0.445141066,28407,0.426672446,5906,22675,12.7,26.1,23.1,9331778,2276078,2385009,16755447,2116972,2508260,17606529,42193939,10097275,8563657,737498,22044832,377,94,377,64,41,22,142,11176,56,1863,15184,62,708,3,2.7,3.7,2.4,2.4,2.8,3.5,3.3,3,3.3,2.9,3.1,2.4,2.1,1.4,0.9,0.8,2.6,44.5,44.2,40.8,"City Island, Co-op City, Country Club, Edgewater Park, Pelham Bay, Schuylerville, Throgs Neck, Westchester Square",19.6,11.8,13.6,3.3,26.6,19.4,36.7,27.9,97.7,94.3,95.1,21.7,39.2,50.8,44.5,38.4,2.2,51,28.4,115948,120392,122586,0.04,14,26.2,19.8,3703,FALSE,NA,"Quality of life issues (noise, graffiti, petty crime, etc.)",Traffic,Trash removal & cleanliness,136617274,19,25.2,21,6.9,4.9,4.9,10,Bronx ,BX,226,0.845670053,276,0.81884058,Throgs Neck/Co-op City,2017,81198.57455,46608.24064,0.102201,113395,0.473529,0.319095477,0.118090452,47765,0.289,0.037146281,0.0356012,0.287596,0.398607,0.255355
BX 11 - Morris Park/Bronxdale,2017,473868.1104,182413.7457,130,15,0.52483064,10.74784513,0.371541502,0.335370512,0.858007149,0.743979257,BX11,BX,2,11,211,Bronx CD 11,175,2302.6,3.6,211,15237,68264,35,3,7,32,1228,20128,96515,9.378153,14.3,11.8,2.8,2.8,3.6,4.4,3.8,3.5,3.7,3.4,3.1,3.3,3.1,2.9,2.4,1.6,1.4,1.4,1.8,3,0.28,85,0.270588235,23,44000,34,0,0.116758242,85,0.4,296,0.49399657,288,9,0.64,401,0.514705882,210,23000,211,0.004,0.727272727,408,0.517156863,2365,0.55862069,81,491,24,26.1,23.1,4821018,1342736,2784770,448907,326909,1072236,11027432,26353911,5486936,5757598,2185030,1348866,330,67,395,14,13,23,135,9219,160,1710,12715,124,373,3.2,3.5,3.2,4.2,3.5,3.6,3.3,3.1,3.1,3.1,2.9,2.3,1.9,1.3,1.1,0.8,0.7,3.3,43.5,44.2,40.8,"Allerton, Bronxdale, Indian Village, Morris Park, Pelham Gardens, Pelham Parkway, Van Nest",14.5,11.8,13.6,8,24.1,19.4,36.7,21.4,95.4,94.3,95.1,34.3,47.6,50.8,44.5,46.7,2.2,86,22,110706,113232,129590,0.02,20.6,26.2,19.8,3704,FALSE,NA,Police-community relations,Public health facilities,"Quality of life issues (noise, graffiti, petty crime, etc.)",62956349,22.3,25.2,21,6.9,6.7,4.9,11,Bronx ,BX,232,0.61523554,350,0.662857143,Pelham Parkway,2017,78759.93716,36150.53193,0.163771,120116,0.331997,0.273006135,0.503067485,45359,0.376,0.095117878,0.0935929,0.198225,0.423366,0.267458
BX 12 - Williamsbridge/Baychester,2017,397437.77,338717.8681,156,5,0.11047967,15.73412803,0.306208054,0.21641791,0.747298755,0.458160411,BX12,BX,2,12,212,Bronx CD 12,306,3556.3,5.6,212,24673,54697,15,5,5,32,2434,20128,96515,15.674988,14.3,11.8,3.1,3.6,4.4,4.4,3.6,3.5,3.4,4.1,2.9,3.9,3.6,3,2.3,1.8,1.5,1,1.1,3.2,0.25,92,0.341941229,384,29000,679,0.171,0.395422535,1123,0.604630454,40,0.511169514,778,59,0.56,224,0.389726027,569,36000,869,0.171,0.413129598,1460,0.59520548,1120,0.489304813,915,857,9.7,26.1,23.1,4108953,3248352,2161316,21250942,322581,1620262,6889081,39564794,6032829,12331053,2975423,3320109,401,144,489,26,36,24,245,14373,107,3558,20610,174,751,3.1,3.2,4.1,3.6,2.7,2.7,3.2,3.2,3,3.4,2.7,2.5,1.8,1.3,1,0.7,0.6,3.1,46.2,44.2,40.8,"Baychester, Eastchester, Edenwald, Olinville, Wakefield, Williamsbridge, Woodlawn",13,11.8,13.6,3.1,22.7,19.4,36.7,65.1,93.8,94.3,95.1,40.2,51.4,50.8,44.5,22.9,2.3,67,6.6,149077,152344,147447,0.02,20.9,26.2,19.8,3702,FALSE,NA,Parks,"Quality of life issues (noise, graffiti, petty crime, etc.)",Trash removal & cleanliness,103825695,22.4,25.2,21,6.9,7.1,4.9,12,Bronx ,BX,1197,0.346549708,1376,0.869912791,Williamsbridge/Baychester,2017,88507.35324,42640.99644,0.146058,150411,0.405287,0.606138107,0.460358056,51829,0.347,0.12300104,0.0225715,0.671713,0.230116,0.0544774
BK 01 - Greenpoint/Williamsburg,2017,2420294.112,947736.2208,16,791,0.11104491,13.28842232,0.425629291,0.411021814,0.922287835,0.890409962,BK01,BK,3,1,301,Brooklyn CD 1,387,3025.3,4.7,301,16906,82471,20,4,25,34,2336,28276,96515,16.143842,11.2,11.8,2.2,2.1,3.5,7.9,6.5,4.5,2.8,2.2,2.8,2.1,2.2,2.4,1.8,1.1,1,0.8,1.1,3.8,1.11,1294,0.350649351,918,93000,1812,0.041,0.206776716,2618,0.692131398,3397,0.416007905,3789,10046,2.49,3495,0.37374861,1680,82000,2880,0.118,0.182708723,4495,0.640711902,21206,0.435719287,8090,22491,22,22.9,23.1,4204717,22582673,10829992,4721583,3036007,2780417,4944990,4891293,7106976,16604613,9105825,3100993,454,1215,2786,78,253,25,342,2561,445,5881,14925,142,381,2.4,2.4,2.9,7,7.2,5,3.1,2.3,2.8,2.2,1.9,1.8,1.7,0.7,0.7,0.4,0.5,4.4,34.5,42.4,40.8,"East Williamsburg, Greenpoint, Northside, Southside, Williamsburg",9.7,12.8,13.6,7.5,47.8,35.2,36.7,4.5,89.6,92.1,95.1,24.1,40.3,45.8,44.5,23,2.1,97,62.6,160338,173083,160799,0.08,15.5,20.9,19.8,4001,FALSE,NA,Affordable housing,"Land use trends (zoning, development, neighborhood preservation, etc.)",Senior services,93910079,21.1,23.1,21,5.1,4.1,4.9,1,Brooklyn ,BK,5386,0.070967742,9779,0.550772063,Williamsburg/Greenpoint,2017,83032.90272,77201.77729,0.233335,152002,0.157502,0,0.157303371,69834,0.298,0.082198453,0.0701175,0.035618,0.215866,0.645393
BK 02 - Fort Greene/Brooklyn Heights,2017,3821517.019,1401222.907,31,794,0.11125073,19.52477991,0.530546624,0.4512,0.943554931,0.973657928,BK02,BK,3,2,302,Brooklyn CD 2,136,1821,2.8,302,8677,64080,28,4,30,38,1940,28276,96515,14.580443,11.2,11.8,1.8,2.5,3.7,6.3,6.7,4.8,3.7,3.3,2.2,2.8,2.5,2.7,2.2,1.6,1,0.9,1,3.4,0.48,240,0.234861347,415,119000,1277,0.042,0.400226501,1767,0.722693831,790,0.34344894,713,1815,1,414,0.24211099,445,77000,1321,0.048,0.289722573,1838,0.718715996,1919,0.377120823,1467,3978,8.7,22.9,23.1,3987472,1685653,6914727,4820490,182964,739865,8092133,4767862,5623993,7230105,9518747,1221574,309,163,1220,107,26,26,252,2471,254,2942,8147,69,198,2.1,2.1,3.2,5.2,6.1,4.7,3.6,3.3,2.4,2.4,2.2,2,1.6,0.9,0.7,0.4,0.5,3.4,35.3,42.4,40.8,"Boerum Hill, Brooklyn Heights, Clinton Hill, Downtown Brooklyn, DUMBO, Fort Greene, Fulton Ferry, Navy Yard, Vinegar Hill",10.9,12.8,13.6,9.4,61.1,35.2,36.7,26.6,94.8,92.1,95.1,19.6,30.7,45.8,44.5,14.8,4.2,99,44.9,98620,99617,139203,0.01,11,20.9,19.8,4004,FALSE,NA,Affordable housing,Schools,Other,54785585,17.7,23.1,21,5.1,5.1,4.9,2,Brooklyn ,BK,2744,0.166465794,7507,0.36552551,Brooklyn Heights/Fort Greene,2017,138109.6251,78781.33765,0.148676,135444,0.330295,0,0.120934959,64915,0.259,0.021777588,0.0904581,0.257597,0.148777,0.472143
BK 03 - Bedford Stuyvesant,2017,917164.0846,789780.184,35,237,0.18836758,17.49844756,0.312987013,0.231065469,0.87671334,0.941938438,BK03,BK,3,3,303,Brooklyn CD 3,241,1824.2,2.9,303,17006,67704,21,4,15,44,2699,28276,96515,20.585544,11.2,11.8,3,2.9,4.7,6.1,4.6,3.8,3,2.9,3.3,2.9,3.2,2.3,1.9,1.3,1.2,0.9,0.7,4,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.05,87,0.452830189,192,70000,312,0,0.190647482,424,0.735849057,0,0.708284024,1197,194,12.1,22.9,23.1,1568496,1625330,4874365,1598265,180380,1000366,6468028,13071576,6620088,14986373,407886,2168500,232,171,1495,37,52,27,367,6858,218,6468,16902,45,718,3.3,3.1,3.7,5.5,4.3,3.5,2.5,2.6,3.9,2.5,2.3,1.8,1.5,1.1,0.6,0.4,0.4,4.5,41.3,42.4,40.8,"Bedford-Stuyvesant, Stuyvesant Heights, Tompkins Park North",10,12.8,13.6,3.3,31.6,35.2,36.7,51.1,89.4,92.1,95.1,19.9,45.5,45.8,44.5,19.3,2,95,24.3,143867,152985,145259,0.06,21.2,20.9,19.8,4003,FALSE,NA,Affordable housing,Schools,Trash removal & cleanliness,54569653,25.7,23.1,21,5.1,6.8,4.9,3,Brooklyn ,BK,2630,0.153130205,3949,0.66599139,Bedford Stuyvesant,2017,111591.3542,38420.0035,0.243765,142027,0.238024,0.023489933,0.590604027,58014,0.306,0.087079082,0.02684,0.487696,0.194005,0.266111
BK 04 - Bushwick,2017,881496.5924,662742.7675,12,56,0.044657946,13.83241295,0.280353201,0.277599143,0.979316727,0.765256102,BK04,BK,3,4,304,Brooklyn CD 4,214,1300.9,2,304,11575,39984,17,2,13,34,1588,28276,96515,11.884736,11.2,11.8,2.8,2.6,5.6,6.7,5,3.7,2.9,2.8,2.9,2.6,2.4,2.3,1.8,1.3,0.9,0.7,0.6,3,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,26,22.9,23.1,1563059,1832239,3470903,6324053,202687,732929,3292806,8041254,1353157,11818071,637369,740094,216,160,1172,99,62,28,180,4052,92,4627,11182,58,250,2.9,3,5.5,7.7,5.4,3.9,3.1,2.7,2.9,2.6,2,1.4,1.3,0.8,0.6,0.5,0.2,3,40.8,42.4,40.8,Bushwick,8.7,12.8,13.6,5.3,26.3,35.2,36.7,18.9,90.5,92.1,95.1,32.9,47.4,45.8,44.5,56.9,1.6,88,17.1,104358,112634,135515,0.08,24.8,20.9,19.8,4002,FALSE,NA,Affordable housing,"Land use trends (zoning, development, neighborhood preservation, etc.)",Street conditions (roadway maintenance),40008621,21,23.1,21,5.1,7.2,4.9,4,Brooklyn ,BK,942,0.058047074,3717,0.253430186,Bushwick,2017,87853.10952,49379.09524,0.271181,140474,0.128726,0.051724138,0.974137931,51437,0.33,0.044644947,0.0560744,0.170309,0.538698,0.214844
BK 05 - East New York/Starrett City,2017,427839.7213,308778.5752,100,33,0.16747995,17.10261569,0.298993487,0.244968373,0.712324675,0.853575697,BK05,BK,3,5,305,Brooklyn CD 5,546,3569.3,5.6,305,23281,63596,24,4,12,61,3206,28276,96515,20.905923,11.2,11.8,3.2,3.3,4.3,4.1,4.1,3.5,3.4,3.9,3.7,3.8,3.4,2.8,2.2,1.7,1,0.9,0.9,3.8,0.29,11,0.443148688,152,20000,319,0.144,0.118153634,343,0.930029155,0,0.55513308,1314,48,1.14,661,0.541797612,862,23000,1367,0.156,0.177765363,1591,0.859208045,2526,0.54659718,3566,6530,15.9,22.9,23.1,4278867,7014135,6176147,16571315,713450,6913457,8125063,29205142,10401714,12630974,5480689,6143237,300,378,1268,80,182,29,352,12583,53,4135,20987,190,920,3.6,3.4,3.7,3.7,3.1,3.2,2.6,2.8,3.7,3.1,2.7,2.3,1.5,1.1,0.7,0.5,0.4,3.9,45.5,42.4,40.8,"Broadway Junction, City Line, Cypress Hills, East New York, Highland Park, New Lots, Spring Creek, Starrett City",10.9,12.8,13.6,4.6,14.6,35.2,36.7,52.1,89.9,92.1,95.1,35.6,48.7,45.8,44.5,37.1,2.4,85,3.8,173198,182896,158784,0.06,28.7,20.9,19.8,4008,FALSE,NA,Health care services,"Land use trends (zoning, development, neighborhood preservation, etc.)",Trash removal & cleanliness,113654190,25.9,23.1,21,5.1,5.1,4.9,5,Brooklyn ,BK,12035,0.296992481,12585,0.956297179,East New York/Starrett City,2017,68354.20108,31274.27621,0.246757,176471,0.219438,0.478787879,0.584848485,65828,0.367,0.127943327,0.0379779,0.527662,0.381961,0.0389866
